pipeline,max_depth,min_samples_leaf,fold,train_rows,validation_rows,mae,mse,rmse,r2
without_pca,2,20,3,265,66,6.368240469208209,76.37845889821722,8.739477038027918,0.4924676924567376
without_pca,3,1,3,265,66,5.800754723143679,65.96502938691894,8.121885827005878,0.5616645836423972
without_pca,3,5,3,265,66,5.914540670044382,69.0645468110533,8.310508216171458,0.5410683939151628
without_pca,3,10,3,265,66,5.96332854883226,69.99249226559876,8.366151580362308,0.5349022273727435
without_pca,3,20,3,265,66,6.132964912468624,73.20850693226544,8.556196990033916,0.5135319173611022
without_pca,4,1,3,265,66,6.092737182172667,63.34758314817214,7.959119495784201,0.5790574264489259
without_pca,4,5,3,265,66,5.844683441558442,58.78166584967192,7.666920232379617,0.6093977943483051
without_pca,4,10,3,265,66,5.84268911704224,68.10887022973351,8.252809838457052,0.5474188328684895
without_pca,4,20,3,265,66,5.866862502311932,72.78300758228154,8.531295773930331,0.5163593463256386
without_pca,5,1,3,265,66,6.109363237772328,74.02516486370259,8.60378782070447,0.508105252691576
without_pca,5,5,3,265,66,5.918380996108269,61.21802314242439,7.824194728048656,0.5932082815376534
without_pca,5,10,3,265,66,6.03500344100344,74.24422029708553,8.616508590901859,0.5066496366554776
without_pca,5,20,3,265,66,5.795256803046658,72.12911557640794,8.492886174699855,0.5207044368578708
without_pca,none,1,3,265,66,6.418181818181819,94.62151515151515,9.727359104685874,0.37124319316150556
without_pca,none,5,3,265,66,5.623109668109669,60.28765348209992,7.764512443296097,0.5993905568464806
without_pca,none,10,3,265,66,5.955959192322826,72.70290293543071,8.526599728815157,0.5168916390276336
without_pca,none,20,3,265,66,5.795256803046658,72.12911557640794,8.492886174699855,0.5207044368578708
with_pca,2,1,3,265,66,6.712103554183091,93.99399307582011,9.695049926422252,0.37541305638873124
with_pca,2,5,3,265,66,6.712103554183091,93.99399307582011,9.695049926422252,0.37541305638873124
with_pca,2,10,3,265,66,6.712103554183091,93.99399307582011,9.695049926422252,0.37541305638873124
with_pca,2,20,3,265,66,6.7061710925890035,92.9601530214283,9.641584570050107,0.382282889009148
with_pca,3,1,3,265,66,6.964371656924258,86.8680734296962,9.320304363576128,0.4227645543573496
with_pca,3,5,3,265,66,6.747010545813146,83.42320561088306,9.133630472647942,0.4456555859189273
with_pca,3,10,3,265,66,6.806205435890391,84.38995736283162,9.186400675064833,0.4392315528267986
with_pca,3,20,3,265,66,6.859121214166817,83.7409991262505,9.15101082538156,0.44354385862692136
with_pca,4,1,3,265,66,7.42972111222111,107.1881867405714,10.353172786183539,0.28773808030983816
with_pca,4,5,3,265,66,6.774462395892878,98.04722969491662,9.901880109096282,0.34847943447511964
with_pca,4,10,3,265,66,7.029491340804175,99.19593339860084,9.95971552799581,0.3408463367427961
with_pca,4,20,3,265,66,6.820190614660311,90.79176272593426,9.528471164144554,0.3966917700759036
with_pca,5,1,3,265,66,7.631384383590265,107.07118565550417,10.347520749218344,0.288515548611056
with_pca,5,5,3,265,66,6.809488063844125,98.36082202201472,9.917702456820063,0.3463956239388001
with_pca,5,10,3,265,66,7.173180323835405,100.88421420191449,10.044113410446663,0.32962776721092557
with_pca,5,20,3,265,66,6.862903457373152,90.77091212740953,9.527376980439556,0.39683032160647347
with_pca,none,1,3,265,66,8.576515151515153,146.4473106060606,12.101541662369328,0.0268625138869657
with_pca,none,5,3,265,66,6.491271645021646,93.78399973051089,9.684213944895625,0.37680845515234784
with_pca,none,10,3,265,66,7.08637919567064,101.67213700055645,10.083260236677244,0.3243920465387711
with_pca,none,20,3,265,66,6.862903457373152,90.77091212740953,9.527376980439556,0.39683032160647347
without_pca,2,1,4,265,66,5.114415287595667,45.17177135249682,6.720994818663144,0.6758874774223614
without_pca,2,5,4,265,66,5.114415287595667,45.17177135249682,6.720994818663144,0.6758874774223614
without_pca,2,10,4,265,66,5.114415287595667,45.17177135249682,6.720994818663144,0.6758874774223614
without_pca,2,20,4,265,66,5.494925324675325,50.34002862898116,7.09507072755312,0.6388046521742657
without_pca,3,1,4,265,66,4.915677675027778,39.9579827341147,6.321232691027495,0.7132969951520001
without_pca,3,5,4,265,66,4.54241124448862,32.11467757400742,5.666981345831961,0.7695735888005257
without_pca,3,10,4,265,66,4.630845587922963,32.73342319690305,5.721313065800809,0.7651340196035235
without_pca,3,20,4,265,66,5.012480906627248,38.15926887624902,6.177318906795166,0.7262029686928401
without_pca,4,1,4,265,66,5.563450543389752,50.35690350622622,7.096259825163268,0.6386835730385949
without_pca,4,5,4,265,66,4.920200398355945,40.942369218407244,6.3986224469339685,0.7062339117912508
