pipeline,k,fold,train_rows,validation_rows,mae,mse,rmse,r2
without_pca,30,4,265,66,5.534494949494949,46.66137558922559,6.830913232447444,0.6651994000600419
without_pca,35,4,265,66,5.902987012987014,51.167658503401356,7.1531572402262595,0.632866315059573
without_pca,40,4,265,66,6.043295454545454,52.4840137310606,7.244585131742231,0.6234213187561168
with_pca,3,4,265,66,6.684848484848484,81.4122558922559,9.022874037259742,0.41585793879839117
with_pca,5,4,265,66,6.222121212121212,62.438018181818165,7.901773103665922,0.5520002211173201
with_pca,7,4,265,66,6.254112554112553,64.75968460111316,8.047340219048351,0.5353420043325603
with_pca,9,4,265,66,5.858585858585859,55.469891507669296,7.447811189045362,0.6019973110338326
with_pca,11,4,265,66,5.669834710743802,52.09676809416481,7.217809092388411,0.6261998496056613
with_pca,15,4,265,66,5.699191919191919,52.99687138047139,7.2798950116379695,0.6197415076374284
with_pca,20,4,265,66,5.866969696969696,53.85495000000001,7.338593189433517,0.6135846973637046
with_pca,25,4,265,66,5.597999999999999,48.92989357575757,6.9949906058376925,0.6489225292375522
with_pca,30,4,265,66,5.684191919191918,50.21883821548821,7.086525115702915,0.6396742069748271
with_pca,35,4,265,66,5.802294372294374,50.826941125541126,7.129301587500779,0.6353110004353706
with_pca,40,4,265,66,5.906098484848487,53.06762812500001,7.284753127251466,0.6192338200645946
without_pca,3,5,265,66,6.24949494949495,67.16087542087543,8.195173910349641,0.6211771584729397
without_pca,5,5,265,66,5.827272727272728,56.53536969696971,7.519000578332848,0.6811106278592081
without_pca,7,5,265,66,5.979004329004328,59.26957637600495,7.698673676420176,0.6656882567691425
without_pca,9,5,265,66,6.1358585858585855,61.58837822671155,7.847826337700877,0.6526089885118702
without_pca,11,5,265,66,6.038016528925619,62.356205860255436,7.89659457362827,0.6482780347516741
without_pca,15,5,265,66,5.815959595959597,60.70363905723906,7.7912540105710235,0.657599385139215
without_pca,20,5,265,66,5.851742424242423,59.28405416666667,7.6996138972461905,0.6656065943762219
without_pca,25,5,265,66,5.9396969696969695,59.31911393939393,7.701890283520918,0.6654088387239229
without_pca,30,5,265,66,6.243131313131314,64.18087508417509,8.011296716772828,0.6379859357294306
without_pca,35,5,265,66,6.3700865800865785,65.29266184291896,8.080387480988703,0.6317148706713862
without_pca,40,5,265,66,6.457613636363637,66.96370369318183,8.18313532169558,0.6222893112506637
with_pca,3,5,265,66,6.174747474747475,68.80646464646466,8.294966223346824,0.6118951653107384
with_pca,5,5,265,66,6.453333333333333,66.91957575757577,8.180438604229957,0.6225382161354236
with_pca,7,5,265,66,6.4101731601731595,64.93823438466296,8.058426297029897,0.6337140289016856
with_pca,9,5,265,66,6.286868686868687,62.10096894874673,7.880416800445693,0.6497177058618913
with_pca,11,5,265,66,6.048347107438016,58.38299899824693,7.640876847472869,0.6706890218629744
with_pca,15,5,265,66,6.021717171717172,58.13639932659933,7.624722901627267,0.6720799743743548
with_pca,20,5,265,66,6.1103030303030295,59.02503257575757,7.682775056954197,0.667067613079003
with_pca,25,5,265,66,6.010909090909091,58.884159030303024,7.673601438066941,0.6678622143472362
with_pca,30,5,265,66,6.175858585858586,61.90407643097644,7.867914363475014,0.650828283748045
with_pca,35,5,265,66,6.324891774891775,63.82515534941248,7.989064735587795,0.6399923830823806
with_pca,40,5,265,66,6.4775,65.87170454545455,8.116138524289402,0.6284487637219844
